id,Machine failure
136429,0.0037504415295477097
136430,0.007106208840672928
136431,0.0038875838817600166
136432,0.004887750434040704
136433,0.005112076194018468
136434,0.00466305433862667
136435,0.009948541945499203
136436,0.004890314806039286
136437,0.004729441315033367
136438,0.0039075063771930865
136439,0.003979696138666558
136440,0.003980337682626859
136441,0.003949433296591841
136442,0.003752095083019154
136443,0.0053538139851805515
136444,0.004951856305032634
136445,0.0038455511790871717
136446,0.44047091676062566
136447,0.004134980487307314
136448,0.0038637251045432414
136449,0.007877076023480723
136450,0.0039930364517546295
136451,0.007339298510604673
136452,0.050307244386837445
136453,0.0045312804841293654
136454,0.003726466610601535
136455,0.003760309399255233
136456,0.004171110668084249
136457,0.005002737634714533
136458,0.005175544418918218
136459,0.01042297087651456
136460,0.008027293532446191
136461,0.003958601699926003
136462,0.02341428780392178
136463,0.03721412254901438
136464,0.003969719693909467
136465,0.004049139548109548
136466,0.005123315143726185
136467,0.004947476995113817
136468,0.004698431247461421
136469,0.007455932131898503
136470,0.003971417774800001
136471,0.011842666441926096
136472,0.005728521086602592
136473,0.0064014045087011215
136474,0.005056597562764995
136475,0.004167892196907342
136476,0.03406233858693162
136477,0.006437444788052249
136478,0.005839206234760508
136479,0.004531894609814809
136480,0.008254482826755819
136481,0.00535660469873572
136482,0.14771549246069351
136483,0.0038683851427607887
136484,0.003992249590638912
136485,0.004056754015128985
136486,0.004969622730298567
136487,0.004415063514787378
136488,0.007443496235817646
136489,0.0038917755740301677
136490,0.06486027884179654
136491,0.014939742337484916
136492,0.00394338577783749
136493,0.009282639746020536
136494,0.005537405319221804
136495,0.0049396390057767445
136496,0.004748164712894315
136497,0.003988610095099281
136498,0.012528533261984139
136499,0.004143755862371614
136500,0.003995812902716669
136501,0.0038544285650462364
136502,0.022673270245162656
136503,0.00642700336299589
136504,0.007530672594619915
136505,0.0161219875040726
136506,0.006279657478297541
136507,0.004059344317079675
136508,0.004728445152208116
136509,0.0072129210461288435
136510,0.0037375179763784387
136511,0.004208229530558026
136512,0.0041026136113947185
136513,0.0059787123749090836
136514,0.003735272598567168
136515,0.004283109681857479
136516,0.00387289990402116
136517,0.010382053006101401
136518,0.003986462770599821
136519,0.007569445722033202
136520,0.006617291728693187
136521,0.004653548080132392
136522,0.004593514068504186
136523,0.004115867778596453
136524,0.003738546965998752
136525,0.004231377363403455
136526,0.0049343272370942
136527,0.005004800955096064
136528,0.004870736574195661
136529,0.0060333605238122685
136530,0.004182763913417994
136531,0.006003819728518955
136532,0.004449163047742428
136533,0.010349682637210101
136534,0.004259088741677918
136535,0.0037336076694898528
136536,0.0038495032671101393
136537,0.0037381687908540915
136538,0.005585481555096902
136539,0.003730270181909619
136540,0.003746638127074275
136541,0.004530494478221638
136542,0.0040906930486725905
136543,0.005183698939067833
136544,0.0045170822476541615
136545,0.004552598725124819
136546,0.003993695973502748
136547,0.003992639859344018
136548,0.00584335573749663
136549,0.004542071633037574
136550,0.004005933386284422
136551,0.003964380394542695
136552,0.005632322137280916
136553,0.008304282890374262
136554,0.003754080204895987
136555,0.01002431992013909
136556,0.01573394675883471
136557,0.004713201124893686
136558,0.00428346150262093
136559,0.004323467297307904
136560,0.006173416693592724
136561,0.006088396752063658
136562,0.005882183217530825
136563,0.00412275931855704
136564,0.003778479162659979
136565,0.007273916359676421
136566,0.004783199166198441
136567,0.005757858789827435
136568,0.0037410317181307694
136569,0.003741833982231065
136570,0.003947368183559361
136571,0.014948742924215653
136572,0.004208917519546941
136573,0.0057217711697052365
136574,0.005535314701513879
136575,0.009676803136861747
